"Emission magnitude [kgh]","Log emission magnitude [log(kgh)]","Cumulative emissions [kgh]","Cumulative aerial emissions [kgh]","Cumulative partial emissions [kgh]","Cumulative simulated emissions [kgh]","Cumulative fraction of sites Rutherford","Emission magnitude Rutherford [kgh]","Log emission magnitude Rutherford [kgh]","Cumulative emissions fraction Rutherford [%]","Cumulative emissions fraction partial [%]","Cumulative emissions fraction aerial [%]","Cumulative emissions fraction [%]","Log cumulative emissions fraction","Cumulative fraction of sites","Log cumulative fraction of sites","Fraction of sites emitting at or above this level","Fraction of aerial detect sites at or above this level","Cumulative fraction missed partial detect sites","Partial detection correction [%]"
1.60008416666667,0.20362730234937,18485.25705367583200,15089.35977058481500,772.13927915616590,2743.23334624999960,,1.46142125000000,0.16418164666897,0.14263745163523,0.04016313854280,0.77898416392865,0.95572992151005,,0.88167607468512,-0.92613129092347,0.11938918111163,0.01736864958749,0.00188513171226,0.00000000000000
1.60367625000000,0.20460039058266,18483.65337742583500,15089.35977058481500,772.13927915616590,2741.76847874999840,,1.46486750000000,0.16521529381669,0.14256126902112,0.04016313854280,0.77898416392865,0.95564652181268,,0.88189318280496,-0.92692743135157,0.11917228189515,0.01736864958749,0.00188513171226,0.00000000000000
1.60739250000000,0.20560393102091,18482.04598492583700,15089.35977058481500,772.13927915616590,2740.29940666666560,,1.46907208333333,0.16647941976594,0.14248486840509,0.04016313854280,0.77898416392865,0.95556292670367,,0.88211029092481,-0.92772503393003,0.11895538267868,0.01736864958749,0.00188513171226,0.00000000000000
1.61211666666667,0.20688424711328,18480.43386825917700,15089.35977058481500,772.13927915616590,2738.82706458333300,,1.47234208333333,0.16744546191319,0.14240829806952,0.04016313854280,0.77898416392865,0.95547908404161,,0.88232739904465,-0.92852410403936,0.11873848346220,0.01736864958749,0.00188513171226,0.00000000000000
1.61587250000000,0.20790024857283,18478.81799575917000,15089.35977058481500,772.13927915616590,2737.35133875000000,,1.47572583333333,0.16844488732545,0.14233155167873,0.04016313854280,0.77898416392865,0.95539504512139,,0.88254450716450,-0.92932464708982,0.11852158424573,0.01736864958749,0.00188513171226,0.00000000000000
1.61968333333333,0.20892178972216,18477.19831242583700,15089.35977058481500,772.13927915616590,2735.87271666666540,,1.47862208333333,0.16929992295669,0.14225465308455,0.04016313854280,0.77898416392865,0.95531080821513,,0.88276161528434,-0.93012666852164,0.11830468502925,0.01736864958749,0.00188513171226,0.00000000000000
1.62388958333333,0.21004463415151,18475.57442284250300,15089.35977058481500,772.13927915616590,2734.39087833333220,,1.48183833333333,0.17023841610332,0.14217758851097,0.04016313854280,0.77898416392865,0.95522635164228,,0.88297872340418,-0.93093017380524,0.11808778581278,0.01736864958749,0.00188513171226,0.00000000000000
1.62768125000000,0.21106068034822,18473.94674159250600,15089.35977058481500,772.13927915616590,2732.90564333333350,,1.48523500000000,0.17124174930950,0.14210034873637,0.04016313854280,0.77898416392865,0.95514169802595,,0.88319583152403,-0.93173516844147,0.11787088659631,0.01736864958749,0.00188513171226,0.00000000000000
1.63140416666667,0.21205416887186,18472.31533742584400,15089.35977058481500,772.13927915616590,2731.41730833333170,,1.48833500000000,0.17215266781284,0.14202294846527,0.04016313854280,0.77898416392865,0.95505684990955,,0.88341293964387,-0.93254165796182,0.11765398737983,0.01736864958749,0.00188513171226,0.00000000000000
1.63575375000000,0.21320616441784,18470.67958367583600,15089.35977058481500,772.13927915616590,2729.92508041666720,,1.49222791666667,0.17329128314949,0.14194534708124,0.04016313854280,0.77898416392865,0.95497177766769,,0.88363004776371,-0.93334964792865,0.11743708816336,0.01736864958749,0.00188513171226,0.00000000000000
1.63945750000000,0.21419345864481,18469.04012617583400,15089.35977058481500,772.13927915616590,2728.42915374999850,,1.49592666666667,0.17435452641400,0.14186755232298,0.04016313854280,0.77898416392865,0.95488651222606,,0.88384715588356,-0.93415914393544,0.11722018894688,0.01736864958749,0.00188513171226,0.00000000000000
1.64337291666667,0.21521927221340,18467.39675325917400,15089.35977058481500,772.13927915616590,2726.92928250000100,,1.49987125000000,0.17551478031044,0.14178955148696,0.04016313854280,0.77898416392865,0.95480104196600,,0.88406426400340,-0.93497015160698,0.11700328973041,0.01736864958749,0.00188513171226,0.00000000000000
1.64705416666667,0.21618977539246,18465.74969909250300,15089.35977058481500,772.13927915616590,2725.42628958333350,,1.50299291666667,0.17642247315645,0.14171139011156,0.04016313854280,0.77898416392865,0.95471538106077,,0.88428137212324,-0.93578267659965,0.11678639051393,0.01736864958749,0.00188513171226,0.00000000000000
1.65062791666667,0.21713082795095,18464.09907117584200,15089.35977058481500,772.13927915616590,2723.91954999999900,,1.50673958333333,0.17751237136427,0.14163303564694,0.04016313854280,0.77898416392865,0.95462953394804,,0.88449848024309,-0.93659672460164,0.11656949129746,0.01736864958749,0.00188513171226,0.00000000000000
